measure,group,group_value,count
ATLAS,Age,1,1
ATLAS,Age,10,4
ATLAS,Age,14,2
ATLAS,Age,17,1
ATLAS,Age,18,8
ATLAS,Age,19,1
ATLAS,Age,20,4
ATLAS,Age,21,3
ATLAS,Age,22,1
ATLAS,Age,23,1
ATLAS,Age,24,35
ATLAS,Age,25,9
ATLAS,Age,28,3
ATLAS,Age,29,5
ATLAS,Age,3,3
ATLAS,Age,30,13
ATLAS,Age,31,1
ATLAS,Age,33,1
ATLAS,Age,37,71
ATLAS,Age,38,17
ATLAS,Age,40,8
ATLAS,Age,41,2
ATLAS,Age,42,1
ATLAS,Age,43,6
ATLAS,Age,45,18
ATLAS,Age,5,1
ATLAS,Age,50,23
ATLAS,Age,51,2
ATLAS,Age,53,2
ATLAS,Age,54,29
ATLAS,Age,55,40
ATLAS,Age,56,2
ATLAS,Age,57,17
ATLAS,Age,59,4
ATLAS,Age,60,15
ATLAS,Age,61,2
ATLAS,Age,62,2
ATLAS,Age,63,4
ATLAS,Age,64,2
ATLAS,Age,65,20
ATLAS,Age,66,32
ATLAS,Age,67,75
ATLAS,Age,69,32
ATLAS,Age,70,6
ATLAS,Age,75,1
ATLAS,Age,76,10
ATLAS,Age,78,23
ATLAS,Age,Unknown,45
ATLAS,Ethnicity,Black or African American,90
ATLAS,Ethnicity,Unknown,162
ATLAS,Ethnicity,White,356
ATLAS,Organ,heart,109
ATLAS,Organ,kidney,237
ATLAS,Organ,large intestine,94
ATLAS,Organ,liver,2
ATLAS,Organ,lung,54
ATLAS,Organ,male reproductive system,4
ATLAS,Organ,mammary gland,3
ATLAS,Organ,prostate gland,4
ATLAS,Organ,skin,4
ATLAS,Organ,small intestine,71
ATLAS,Organ,spleen,16
ATLAS,Organ,ureter,13
ATLAS,Organ,urinary bladder,14
ATLAS,Portal,GTEx,15
ATLAS,Portal,HCA,82
ATLAS,Portal,HuBMAP,467
ATLAS,Portal,KPMP,27
ATLAS,Portal,NHLBI/LungMap,9
ATLAS,Portal,SenNet,8
ATLAS,Sex,female,196
ATLAS,Sex,male,412
CTann via proteomics,Age,1,1
CTann via proteomics,Age,10,2
CTann via proteomics,Age,20,2
CTann via proteomics,Age,21,1
CTann via proteomics,Age,23,1
CTann via proteomics,Age,24,14
CTann via proteomics,Age,30,8
CTann via proteomics,Age,37,16
CTann via proteomics,Age,38,8
CTann via proteomics,Age,54,8
CTann via proteomics,Age,57,1
CTann via proteomics,Age,60,1
